T posX posY posZ VecX VecY VecZ AX AY AZ
53 340.501221 0.000000 1293.367065 0.002784 0.000000 -55.999996 -0.000487 -0.000000 -0.000002
54 340.503998 0.000000 1237.367065 0.002297 0.000000 -55.999996 -0.000402 -0.000000 -0.000002
55 340.506287 0.000000 1181.367065 0.001895 0.000000 -55.999996 -0.000332 -0.000000 -0.000002
56 340.508179 0.000000 1125.367065 0.001563 0.000000 -55.999996 -0.000274 -0.000000 -0.000002
57 340.509735 0.000000 1069.367065 0.001290 0.000000 -55.999996 -0.000226 -0.000000 -0.000002
58 340.511017 0.000000 1013.367065 0.001064 0.000000 -55.999996 -0.000186 -0.000000 -0.000002
59 340.512085 0.000000 957.367065 0.000878 0.000000 -55.999996 -0.000154 -0.000000 -0.000002
60 340.512970 0.000000 901.367065 0.000724 0.000000 -55.999996 -0.000127 -0.000000 -0.000002
61 340.513702 0.000000 845.367065 0.000597 0.000000 -55.999996 -0.000105 -0.000000 -0.000002
62 340.514313 0.000000 789.367065 0.000493 0.000000 -55.999996 -0.000086 -0.000000 -0.000002
63 340.514801 0.000000 733.367065 0.000407 0.000000 -55.999996 -0.000071 -0.000000 -0.000002
64 340.515198 0.000000 677.367065 0.000336 0.000000 -55.999996 -0.000059 -0.000000 -0.000002
65 340.515533 0.000000 621.367065 0.000277 0.000000 -55.999996 -0.000048 -0.000000 -0.000002
66 340.515808 0.000000 565.367065 0.000228 0.000000 -55.999996 -0.000040 -0.000000 -0.000002
67 340.516022 0.000000 509.367065 0.000188 0.000000 -55.999996 -0.000033 -0.000000 -0.000002
68 340.516205 0.000000 453.367065 0.000155 0.000000 -55.999996 -0.000027 -0.000000 -0.000002
69 340.516357 0.000000 397.367065 0.000128 0.000000 -55.999996 -0.000022 -0.000000 -0.000002
70 340.516479 0.000000 341.367065 0.000106 0.000000 -55.999996 -0.000019 -0.000000 -0.000002
71 340.516571 0.000000 285.367065 0.000087 0.000000 -55.999996 -0.000015 -0.000000 -0.000002
72 340.516663 0.000000 229.367065 0.000072 0.000000 -55.999996 -0.000013 -0.000000 -0.000002
73 340.516724 0.000000 173.367065 0.000059 0.000000 -55.999996 -0.000010 -0.000000 -0.000002
74 340.516785 0.000000 117.367065 0.000049 0.000000 -55.999996 -0.000009 -0.000000 -0.000002
75 340.516846 0.000000 61.367069 0.000040 0.000000 -55.999996 -0.000007 -0.000000 -0.000002
